data;tipo;categoria;descricao;valor;metodo
2026-02-16T22:48:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-02-16T21:29:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-02-16T21:05:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-02-16T20:58:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-02-16T19:28:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-02-16T19:12:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-02-16T18:06:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-02-15T03:00:00.000Z;SAÍDA;DESPESAS OPERACIONAIS;Compra de Insumos Reposição;-2291.52889657845;Dinheiro/Banco
2026-02-13T20:06:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-02-13T19:24:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-02-13T19:14:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-02-13T18:19:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-02-13T17:33:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-02-13T15:42:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-02-13T15:08:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-02-12T22:39:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-02-12T22:27:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-02-12T20:58:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-02-12T15:23:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-02-12T15:11:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-02-12T15:02:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-02-12T03:00:00.000Z;SAÍDA;DESPESAS OPERACIONAIS;Compra de Insumos Reposição;-2010.045180125027;Dinheiro/Banco
2026-02-11T21:42:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-02-11T20:43:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-02-11T18:48:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-02-11T18:39:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-02-11T17:37:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-02-11T16:23:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-02-11T16:10:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-02-11T15:03:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-02-10T21:04:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-02-10T20:53:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-02-10T20:50:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-02-10T20:24:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-02-10T19:49:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-02-10T18:32:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-02-10T17:52:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-02-10T17:44:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-02-10T15:10:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-02-09T18:29:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-02-09T17:57:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-02-09T17:56:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-02-09T16:57:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-02-09T16:03:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-02-09T16:03:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-02-09T15:50:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-02-09T15:24:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-02-09T15:10:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-02-09T03:00:00.000Z;SAÍDA;DESPESAS OPERACIONAIS;Compra de Insumos Reposição;-1604.9523036319486;Dinheiro/Banco
2026-02-06T21:43:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-02-06T21:19:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-02-06T21:14:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-02-06T19:29:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-02-06T19:01:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-02-06T18:09:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-02-06T17:48:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-02-06T17:47:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-02-06T16:48:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-02-06T15:06:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-02-06T03:00:00.000Z;SAÍDA;DESPESAS OPERACIONAIS;Compra de Insumos Reposição;-2048.283521804663;Dinheiro/Banco
