id;codigo;nome;tipo;codigo_pai
1;1;RECEITAS OPERACIONAIS;Receita;
1.1;1.1;Receita de Vendas de Produtos;Receita;1
1.2;1.2;Receita de Serviços;Receita;1
2;2;DEDUÇÕES DA RECEITA;Dedução;
2.1;2.1;Impostos Sobre Receita;Dedução;2
2.2;2.2;Dedução de Venda;Dedução;2
3;3;CUSTOS DIRETOS;Custo;
3.1;3.1;CSP - Custo de Serviço Prestado;Custo;3
3.1.1;3.1.1;Deslocamento para Atendimento;Custo;3.1
3.1.2;3.1.2;Material Aplicado;Custo;3.1
3.1.3;3.1.3;Royalties sobre Representação;Custo;3.1
3.1.4;3.1.4;Serviços Terceirizados;Custo;3.1
3.2;3.2;CMV - Custo de Mercadoria Vendida;Custo;3
3.2.1;3.2.1;Frete de Material para Revenda;Custo;3.2
3.2.2;3.2.2;Materiais para Revenda;Custo;3.2
3.3;3.3;Custos Variáveis Comerciais;Custo;3
3.3.1;3.3.1;Comissão de Vendedores;Custo;3.3
3.3.2;3.3.2;Deslocamento Comercial;Custo;3.3
3.3.3;3.3.3;Garantias;Custo;3.3
4;4;DESPESAS OPERACIONAIS;Despesa;
4.1;4.1;Recursos Humanos;Despesa;4
4.1.1;4.1.1;Remuneração;Despesa;4.1
4.1.1.1;4.1.1.1;Adiantamento Salarial;Despesa;4.1.1
4.1.1.2;4.1.1.2;Remuneração de Estagiários;Despesa;4.1.1
4.1.1.3;4.1.1.3;Salários;Despesa;4.1.1
4.1.1.4;4.1.1.4;Horas extras;Despesa;4.1.1
4.1.1.5;4.1.1.5;Recisões;Despesa;4.1.1
4.1.2;4.1.2;Encargos sociais;Despesa;4.1
4.1.2.1;4.1.2.1;FGTS;Despesa;4.1.2
4.1.2.2;4.1.2.2;INSS;Despesa;4.1.2
4.1.2.3;4.1.2.3;13o Salários;Despesa;4.1.2
4.1.2.4;4.1.2.4;FGTS sobre 13º salário;Despesa;4.1.2
4.1.2.5;4.1.2.5;INSS sobre 13º salário;Despesa;4.1.2
4.1.2.6;4.1.2.6;Aviso prévio;Despesa;4.1.2
4.1.2.7;4.1.2.7;FGTS sobre Férias;Despesa;4.1.2
4.1.2.8;4.1.2.8;INSS sobre Férias;Despesa;4.1.2
4.1.2.9;4.1.2.9;Férias;Despesa;4.1.2
4.1.2.10;4.1.2.10;Provisionamento de Férias;Despesa;4.1.2
4.1.2.11;4.1.2.11;Provisionamento de 13º;Despesa;4.1.2
4.1.2.12;4.1.2.12;Provisionamento de Recisão;Despesa;4.1.2
4.1.3;4.1.3;Benefícios;Despesa;4.1
4.1.3.1;4.1.3.1;Abono;Despesa;4.1.3
4.1.3.2;4.1.3.2;Bonificação;Despesa;4.1.3
4.1.3.3;4.1.3.3;Cesta Básica;Despesa;4.1.3
4.1.3.4;4.1.3.4;Gratificação;Despesa;4.1.3
4.1.3.5;4.1.3.5;Plano de Saúde;Despesa;4.1.3
4.1.3.6;4.1.3.6;(-) Coparticipação Plano de Saúde;Despesa;4.1.3
4.1.3.7;4.1.3.7;Premiação;Despesa;4.1.3
4.1.3.8;4.1.3.8;PLR - Participação nos Lucros;Despesa;4.1.3
4.1.3.9;4.1.3.9;Treinamentos / Cursos / Formações;Despesa;4.1.3
4.1.3.10;4.1.3.10;Vale Alimentação;Despesa;4.1.3
4.1.3.11;4.1.3.11;Vale Refeição;Despesa;4.1.3
4.1.3.12;4.1.3.12;Vale Transporte;Despesa;4.1.3
