id;codigo;nome;tipo;codigo_pai;classificacao
acc_1;1;RECEITAS OPERACIONAIS;Receita;;
acc_1_1;1.1;Receita de Vendas de Produtos;Receita;1;
acc_1_2;1.2;Receita de Serviços;Receita;1;
acc_2;2;DEDUÇÕES DA RECEITA;Dedução;;
ID1771362064720;2.1;Impostos sobre Vendas;;2;Subgrupo
acc_2_1;2.1.1;DAS;;2.1;
acc_2_2;2.1.2;ICMS;;2.1;
acc_2_3;2.1.3;IPI;;2.1;
acc_2_4;2.1.4;ISS;;2.1;
acc_2_5;2.1.5;PIS/COFINS;;2.1;
ID1771362087500;2.2;Deduções Diretas;;2;Subgrupo
acc_2_6;2.2.1;Descontos Concedidos;;2.2;
acc_2_7;2.2.2;Devoluções;;2.2;
acc_2_8;2.2.3;Estornos;;2.2;
acc_2_9;2.2.4;Repasse;;2.2;
acc_3;3;CUSTOS DIRETOS;Custo;;
acc_3_1;3.1;CSP - Custo de Serviço Prestado;Custo;3;
acc_3_1_1;3.1.1;Deslocamento para Atendimento;Custo;3.1;
acc_3_1_2;3.1.2;Material Aplicado;Custo;3.1;
acc_3_1_3;3.1.3;Royalties sobre Representação;Custo;3.1;
acc_3_1_4;3.1.4;Serviços Terceirizados;Custo;3.1;
acc_3_2;3.2;CMV - Custo de Mercadoria Vendida;Custo;3;
acc_3_2_1;3.2.1;Frete de Material para Revenda;Custo;3.2;
acc_3_2_2;3.2.2;Materiais para Revenda;Custo;3.2;
acc_3_3;3.3;Custos Variáveis Comerciais;Custo;3;
acc_3_3_1;3.3.1;Comissão de Vendedores;Custo;3.3;
acc_3_3_2;3.3.2;Deslocamento Comercial;Custo;3.3;
acc_3_3_3;3.3.3;Garantias;Custo;3.3;
acc_4;4;DESPESAS OPERACIONAIS;Despesa;;
acc_4_1;4.1;Recursos Humanos;Despesa;4;
acc_4_1_1;4.1.1;Remuneração;Despesa;4.1;
acc_4_1_1_1;4.1.1.1;Remuneração de Estagiários;Despesa;4.1.1;
acc_4_1_1_2;4.1.1.2;Salários;Despesa;4.1.1;
acc_4_1_1_3;4.1.1.3;Horas extras;Despesa;4.1.1;
acc_4_1_1_4;4.1.1.4;Recisões;Despesa;4.1.1;
acc_4_1_2;4.1.2;Encargos sociais;Despesa;4.1;
acc_4_1_2_1;4.1.2.1;FGTS;Despesa;4.1.2;
acc_4_1_2_2;4.1.2.2;INSS;Despesa;4.1.2;
acc_4_1_2_3;4.1.2.3;13o Salários;Despesa;4.1.2;
acc_4_1_2_4;4.1.2.4;FGTS sobre 13º salário;Despesa;4.1.2;
acc_4_1_2_5;4.1.2.5;INSS sobre 13º salário;Despesa;4.1.2;
acc_4_1_2_6;4.1.2.6;FGTS sobre Férias;Despesa;4.1.2;
acc_4_1_2_7;4.1.2.7;INSS sobre Férias;Despesa;4.1.2;
acc_4_1_2_8;4.1.2.8;Férias;Despesa;4.1.2;
acc_4_1_2_9;4.1.2.9;Provisionamento de Férias;Despesa;4.1.2;
acc_4_1_2_10;4.1.2.10;Provisionamento de 13º;Despesa;4.1.2;
acc_4_1_2_11;4.1.2.11;Provisionamento de Recisão;Despesa;4.1.2;
acc_4_1_3;4.1.3;Benefícios;Despesa;4.1;
acc_4_1_3_1;4.1.3.1;Abono;Despesa;4.1.3;
acc_4_1_3_2;4.1.3.2;Bonificação;Despesa;4.1.3;
acc_4_1_3_3;4.1.3.3;Cesta Básica;Despesa;4.1.3;
acc_4_1_3_4;4.1.3.4;Gratificação;Despesa;4.1.3;
acc_4_1_3_5;4.1.3.5;Plano de Saúde;Despesa;4.1.3;
acc_4_1_3_6;4.1.3.6;(-) Coparticipação Plano de Saúde;Despesa;4.1.3;
acc_4_1_3_7;4.1.3.7;Premiação;Despesa;4.1.3;
acc_4_1_3_8;4.1.3.8;PLR - Participação nos Lucros;Despesa;4.1.3;
acc_4_1_3_9;4.1.3.9;Treinamentos / Cursos / Formações;Despesa;4.1.3;
acc_4_1_3_10;4.1.3.10;Vale Alimentação;Despesa;4.1.3;
acc_4_1_3_11;4.1.3.11;Vale Refeição;Despesa;4.1.3;
acc_4_1_3_12;4.1.3.12;Vale Transporte;Despesa;4.1.3;
acc_4_1_3_13;4.1.3.13;Seguro de Vida;Despesa;4.1.3;
acc_4_1_3_14;4.1.3.14;Premiação;Despesa;4.1.3;
acc_4_1_3_15;4.1.3.15;PLR - Participação nos Lucros;Despesa;4.1.3;
acc_4_1_3_16;4.1.3.16;Treinamentos / Cursos / Formações;Despesa;4.1.3;
acc_4_1_3_17;4.1.3.17;Vale Alimentação;Despesa;4.1.3;
acc_4_1_3_18;4.1.3.18;Vale Refeição;Despesa;4.1.3;
acc_4_1_3_19;4.1.3.19;Vale Transporte;Despesa;4.1.3;
acc_4_1_3_20;4.1.3.20;Vale Farmácia;Despesa;4.1.3;
acc_4_1_3_21;4.1.3.21;Seguro de Vida;Despesa;4.1.3;
acc_4_2;4.2;Ocupação e Estrutura;Despesa;4;
acc_4_2_1;4.2.1;Água e Saneamento;Despesa;4.2;
acc_4_2_2;4.2.2;Aluguel;Despesa;4.2;
acc_4_2_3;4.2.3;Condomínio;Despesa;4.2;
acc_4_2_4;4.2.4;Energia Elétrica;Despesa;4.2;
acc_4_2_5;4.2.5;Gás;Despesa;4.2;
acc_4_2_6;4.2.6;Seguro Imóvel;Despesa;4.2;
acc_4_2_7;4.2.7;Telefonia / Internet;Despesa;4.2;
acc_4_2_8;4.2.8;Vigilância e Segurança Patrimonial;Despesa;4.2;
acc_4_3;4.3;Despesas Tributárias (não sobre venda);Despesa;4;
acc_4_3_1;4.3.1;Alvará de Funcionamento;Despesa;4.3;
acc_4_3_2;4.3.2;IPEM - INMETRO;Despesa;4.3;
acc_4_3_3;4.3.3;IPTU;Despesa;4.3;
acc_4_3_4;4.3.4;IPVA / CRLV / DPVAT;Despesa;4.3;
acc_4_3_5;4.3.5;Taxa de Incêndio;Despesa;4.3;
acc_4_3_6;4.3.6;Taxa de Lixo;Despesa;4.3;
acc_4_3_7;4.3.7;Taxas Municipais;Despesa;4.3;
acc_4_3_8;4.3.8;Taxas Estaduais;Despesa;4.3;
acc_4_3_9;4.3.9;Transferência Veicular (DUDA);Despesa;4.3;
acc_4_4;4.4;Uso e Consumo;Despesa;4;
acc_4_4_1;4.4.1;Bens de Pequeno Valor;Despesa;4.4;
acc_4_4_2;4.4.2;Ferramentas;Despesa;4.4;
acc_4_4_3;4.4.3;Lanches e Refeições ;Despesa;4.4;
acc_4_4_4;4.4.4;Mantimentos;Despesa;4.4;
acc_4_4_5;4.4.5;Material Escritório;Despesa;4.4;
acc_4_4_6;4.4.6;Material Limpeza;Despesa;4.4;
acc_4_4_7;4.4.7;Utensílios;Despesa;4.4;
acc_4_5;4.5;Transporte;Despesa;4;
acc_4_5_1;4.5.1;Aluguel de Veículos;Despesa;4.5;
acc_4_5_2;4.5.2;Combustível;Despesa;4.5;
acc_4_5_3;4.5.3;Estacionamento;Despesa;4.5;
